#alt_asm_name	prim_asm_name	alt_scaf_name	alt_scaf_acc	parent_type	parent_name	parent_acc	region_name	ori	alt_scaf_start	alt_scaf_stop	parent_start	parent_stop	alt_start_tail	alt_stop_tail
PATCHES	Primary Assembly	HG1342_HG2282_PATCH	KQ031383.1	CHROMOSOME	1	CM000663.2	PRAME_REGION_1	+	1	467143	12818488	13312803	0	0
PATCHES	Primary Assembly	HSCHR1_5_CTG3	KQ983255.1	CHROMOSOME	1	CM000663.2	PRAME_REGION_1	+	1	278659	13004385	13312803	0	0
PATCHES	Primary Assembly	HG1343_HG173_HG459_PATCH	MU273333.1	CHROMOSOME	1	CM000663.2	REGION200	b	1	1572686	16195864	17157486	0	0
PATCHES	Primary Assembly	HG2095_PATCH	KN538361.1	CHROMOSOME	1	CM000663.2	REGION200	+	1	305542	17157487	17460319	0	0
PATCHES	Primary Assembly	HSCHR1_4_CTG3	KQ458383.1	CHROMOSOME	1	CM000663.2	REGION228	+	1	349938	23237486	23579959	0	0
PATCHES	Primary Assembly	HG2058_PATCH	KN196473.1	CHROMOSOME	1	CM000663.2	REGION189	b	1	166200	26512383	26678582	0	0
PATCHES	Primary Assembly	HSCHR1_8_CTG3	KZ208904.1	CHROMOSOME	1	CM000663.2	REGION246	+	1	166136	28206357	28366763	0	0
PATCHES	Primary Assembly	HG460_PATCH	KZ559100.1	CHROMOSOME	1	CM000663.2	REGION261	+	1	44955	29545040	29590578	0	0
PATCHES	Primary Assembly	HG986_PATCH	KN196472.1	CHROMOSOME	1	CM000663.2	FOXO6	+	1	186494	41250328	41436604	0	0
PATCHES	Primary Assembly	HSCHR1_9_CTG3	KZ208905.1	CHROMOSOME	1	CM000663.2	REGION247	+	1	140355	72287734	72419130	0	0
PATCHES	Primary Assembly	HSCHR1_3_CTG3	KQ458382.1	CHROMOSOME	1	CM000663.2	REGION229	+	1	141019	103909381	104045121	0	0
PATCHES	Primary Assembly	HSCHR1_6_CTG3	KV880763.1	CHROMOSOME	1	CM000663.2	REGION240	b	1	551020	107987825	108539424	0	0
PATCHES	Primary Assembly	HG2104_PATCH	KN196474.1	CHROMOSOME	1	CM000663.2	REGION190	+	1	122022	112909422	113029606	0	0
PATCHES	Primary Assembly	HSCHR1_12_CTG3	MU273330.1	CHROMOSOME	1	CM000663.2	REGION304	+	1	516764	120382304	120906271	0	0
PATCHES	Primary Assembly	HG2515_PATCH	MU273335.1	CHROMOSOME	1	CM000663.2	REGION305	+	1	211934	156441444	156653375	0	0
PATCHES	Primary Assembly	HG2577_PATCH	MU273336.1	CHROMOSOME	1	CM000663.2	REGION306	+	1	250447	159248175	159498620	0	0
PATCHES	Primary Assembly	HSCHR1_5_CTG31	MU273331.1	CHROMOSOME	1	CM000663.2	REGION307	+	1	847441	196150325	197082310	0	0
PATCHES	Primary Assembly	HG1832_PATCH	KN538360.1	CHROMOSOME	1	CM000663.2	REGION199	+	1	460100	210220259	210677001	0	0
PATCHES	Primary Assembly	HG2002_PATCH	KZ208906.1	CHROMOSOME	1	CM000663.2	RNA5S_REGION_1	+	1	330031	228408802	228753027	0	0
PATCHES	Primary Assembly	HSCHR1_5_CTG32_1	KQ458384.1	CHROMOSOME	1	CM000663.2	TBCE	+	1	212205	235360200	235568613	0	0
PATCHES	Primary Assembly	HG2571_PATCH	MU273334.1	CHROMOSOME	1	CM000663.2	REGION308	+	1	210426	247233558	247443983	0	0
PATCHES	Primary Assembly	HSCHR1_6_CTG31	MU273332.1	CHROMOSOME	1	CM000663.2	OLFACTORY_REGION_3	b	1	335159	248352027	248693469	0	0
PATCHES	Primary Assembly	HG1384_PATCH	ML143342.1	CHROMOSOME	2	CM000664.2	REGION275	+	1	84043	16105575	16187687	0	0
PATCHES	Primary Assembly	HG2231_HG2496_PATCH	MU273344.1	CHROMOSOME	2	CM000664.2	APOB	+	1	244725	20949331	21194057	0	0
PATCHES	Primary Assembly	HG2140_PATCH	MU273345.1	CHROMOSOME	2	CM000664.2	REGION309	+	1	174385	21681752	21853976	0	0
PATCHES	Primary Assembly	HG2052_PATCH	MU273343.1	CHROMOSOME	2	CM000664.2	REGION310	+	1	489404	73330506	73819906	0	0
PATCHES	Primary Assembly	HSCHR2_6_CTG1	MU273340.1	CHROMOSOME	2	CM000664.2	TGOLN2	+	1	284971	85073815	85358733	0	0
PATCHES	Primary Assembly	HG2290_PATCH	KQ031384.1	CHROMOSOME	2	CM000664.2	IGK	+	1	439505	88891175	89330679	0	41740
PATCHES	Primary Assembly	HSCHR2_10_CTG7_2	MU273337.1	CHROMOSOME	2	CM000664.2	REGION311	b	1	431782	95237897	95669507	0	0
PATCHES	Primary Assembly	HG2275_PATCH	MU273342.1	CHROMOSOME	2	CM000664.2	REGION312	+	1	955087	97025303	98029056	0	0
PATCHES	Primary Assembly	HSCHR2_7_CTG7_2	KZ208907.1	CHROMOSOME	2	CM000664.2	REGION248	+	1	181658	126189128	126361783	0	0
PATCHES	Primary Assembly	HSCHR2_12_CTG7_2	MU273339.1	CHROMOSOME	2	CM000664.2	REGION313	+	1	500581	129827759	130324004	0	0
PATCHES	Primary Assembly	HSCHR2_11_CTG7_2	MU273338.1	CHROMOSOME	2	CM000664.2	REGION314	+	1	535251	171569828	172096484	0	0
PATCHES	Primary Assembly	HG2494_PATCH	MU273341.1	CHROMOSOME	2	CM000664.2	COL3A1	+	1	120381	188895041	189015421	0	0
PATCHES	Primary Assembly	HSCHR2_6_CTG7_2	KQ983256.1	CHROMOSOME	2	CM000664.2	REGION233	+	1	535088	205890983	206421450	0	0
PATCHES	Primary Assembly	HSCHR2_8_CTG7_2	KZ208908.1	CHROMOSOME	2	CM000664.2	REGION249	+	1	140361	208007848	208142067	0	0
PATCHES	Primary Assembly	HG2232_PATCH	KN538363.1	CHROMOSOME	2	CM000664.2	REGION201	+	1	365499	233054663	233420161	0	0
PATCHES	Primary Assembly	HG721_PATCH	ML143341.1	CHROMOSOME	2	CM000664.2	REGION276	+	1	145975	238772758	238918045	0	0
PATCHES	Primary Assembly	HG2233_PATCH	KN538362.1	CHROMOSOME	2	CM000664.2	REGION202	+	1	208149	239696904	239905046	0	0
PATCHES	Primary Assembly	HG545_PATCH	ML143354.1	CHROMOSOME	10	CM000672.2	REGION290	+	1	454963	38363173	38781896	0	0
PATCHES	Primary Assembly	HG2244_HG2245_PATCH	KN538367.1	CHROMOSOME	10	CM000672.2	REGION205	+	1	420164	38918270	39338430	0	0
PATCHES	Primary Assembly	HG1277_PATCH	ML143355.1	CHROMOSOME	10	CM000672.2	REGION298	+	1	292944	47739150	48074662	0	0
PATCHES	Primary Assembly	HSCHR10_1_CTG6	KQ090020.1	CHROMOSOME	10	CM000672.2	REGION216	+	1	185507	65503225	65684914	0	0
PATCHES	Primary Assembly	HG2191_PATCH	KN196480.1	CHROMOSOME	10	CM000672.2	REGION195	+	1	277797	74797382	75073121	0	0
PATCHES	Primary Assembly	HG2334_PATCH	KQ090021.1	CHROMOSOME	10	CM000672.2	PTEN	+	1	264545	87784179	88048756	0	0
PATCHES	Primary Assembly	HG2576_PATCH	MU273367.1	CHROMOSOME	10	CM000672.2	PNLIPRP2	+	1	196262	116589005	116785266	0	0
PATCHES	Primary Assembly	HG2242_HG2243_PATCH	KN538366.1	CHROMOSOME	10	CM000672.2	REGION204	+	1	85284	124109957	124195365	0	0
PATCHES	Primary Assembly	HG2241_PATCH	KN538365.1	CHROMOSOME	10	CM000672.2	REGION203	+	1	14347	131588434	131607480	0	0
